doe_building_type,confidence,justification,key
OtherCommercial,0.6,"Home cleaning is a service, likely commercial but no specific building type.",home_cleaning
OutPatient,0.9,"Nephrologist is a medical specialist, fitting OutPatient clinic.",nephrologist
StripMall,0.8,Building supply stores are often located in strip malls or retail centers.,building_supply_store
OtherCommercial,0.6,"Cycling classes are commercial services, no specific DOE building type.",cycling_classes
SmallHotel,0.8,Guest house is a small lodging facility.,guest_house
StandaloneRetail,0.8,"Beer, wine, and spirits stores are retail establishments, fitting StandaloneRetail.",beer_wine_and_spirits
FullServiceRestaurant,0.8,Lebanese restaurant is a full-service dining establishment.,lebanese_restaurant
OtherCommercial,0.7,"Automobile leasing is a commercial service, not fitting other categories.",automobile_leasing
MidriseApartment,0.7,Self-catering accommodation often in apartment-style buildings.,self_catering_accommodation
OtherCommercial,0.8,Veterinarian clinics are commercial services not specifically categorized in DOE types.,veterinarian
OtherCommercial,0.7,"Textile museum is a cultural institution, best categorized as other commercial.",textile_museum
OtherIndustrial,0.85,"Machine and tool rentals involve industrial equipment, fitting OtherIndustrial.",machine_and_tool_rentals
FullServiceRestaurant,0.9,meatball_restaurant is a full-service restaurant.,meatball_restaurant
SmallOffice,0.8,Employment agencies are typically small office businesses.,employment_agencies
StandaloneRetail,0.7,"Skate shop is a retail store, standalone retail fits best.",skate_shop
FullServiceRestaurant,0.9,Sri Lankan restaurant is a full-service restaurant.,sri_lankan_restaurant
FullServiceRestaurant,0.9,Meat restaurant implies a full-service dining establishment.,meat_restaurant
OtherCommercial,0.75,"Sports club and league is a recreational service, fitting OtherCommercial.",sports_club_and_league
SmallOffice,0.7,"Automotive consultant is a professional service, fitting small office.",automotive_consultant
SecondarySchool,0.8,Law schools are higher education but closest DOE type is SecondarySchool.,law_schools
OtherCommercial,0.6,Party bike rental is a commercial service without a specific DOE type.,party_bike_rental
FullServiceRestaurant,0.9,Italian restaurant is a full-service dining establishment.,italian_restaurant
SmallOffice,0.8,Professional services typically operate in small office settings.,professional_services
SmallOffice,0.7,"Travel services are typically office-based businesses, fitting SmallOffice.",travel_services
OtherCommercial,0.5,"Skyline is ambiguous, no clear DOE building type.",skyline
OtherIndustrial,0.8,Logging services are industrial operations.,logging_services
OtherCommercial,0.6,Race track is a recreational or entertainment facility.,race_track
FullServiceRestaurant,0.9,Georgian restaurants are full service dining establishments.,georgian_restaurant
FullServiceRestaurant,0.9,Scandinavian restaurant is a full-service restaurant.,scandinavian_restaurant
OtherCommercial,0.6,"Botanical garden is a public attraction, no direct DOE building type.",botanical_garden
OtherCommercial,0.75,Construction services are commercial service businesses.,construction_services
FullServiceRestaurant,0.95,Seafood restaurant is a full-service restaurant.,seafood_restaurant
OtherIndustrial,0.9,"Industrial equipment relates to manufacturing or industrial use, best mapped to OtherIndustrial.",industrial_equipment
SmallOffice,0.6,Charity organization likely operates from small office space.,charity_organization
MultiFamilyResidential,0.6,"Homeowner associations typically relate to residential buildings, MultiFamilyResidential is closest.",homeowner_association
StandaloneRetail,0.8,Recreational vehicle parts and accessories are sold in retail stores.,recreational_vehicle_parts_and_accessories
StandaloneRetail,0.85,Auto parts and supply store is a retail store.,auto_parts_and_supply_store
OtherIndustrial,0.9,Leather products manufacturer is an industrial manufacturing facility.,leather_products_manufacturer
OtherCommercial,0.6,"Outdoor movies are event-based and do not fit standard building types, so OtherCommercial is assigned.",outdoor_movies
SmallOffice,0.7,Holding companies operate in office buildings.,holding_companies
OtherCommercial,0.7,Home network installation is a commercial service.,home_network_installation
QuickServiceRestaurant,0.9,Smoothie juice bars are quick service food establishments.,smoothie_juice_bar
SmallOffice,0.7,Qi Gong studio is a small specialized wellness or fitness studio.,qi_gong_studio
FullServiceRestaurant,0.9,Scottish restaurant is a full-service ethnic restaurant.,scottish_restaurant
QuickServiceRestaurant,0.85,Acai bowls are typically sold in quick service restaurant settings.,acai_bowls
OtherCommercial,0.6,"Workers compensation law is a professional service, best categorized as OtherCommercial.",workers_compensation_law
OtherCommercial,0.5,Clown is an entertainment service without a specific DOE building type.,clown
FullServiceRestaurant,0.9,Buffet restaurant is a full-service dining establishment.,buffet_restaurant
OtherCommercial,0.6,Erotic massage is a commercial service not fitting other categories.,erotic_massage
OtherCommercial,0.6,"Aerial tours are a service without a direct DOE building type, so OtherCommercial is chosen.",aerial_tours
OtherCommercial,0.7,A music venue is a commercial entertainment space not specifically categorized.,music_venue
OtherCommercial,0.7,Scooter rental is a commercial retail or service activity.,scooter_rental
OtherIndustrial,0.9,Agricultural production is industrial.,agricultural_production
StripMall,0.7,"Used, vintage, and consignment stores are retail shops often found in strip malls.",used_vintage_and_consignment
OtherCommercial,0.6,"Haunted house is an entertainment venue, no specific DOE building type.",haunted_house
OtherCommercial,0.7,"Windsurfing center is a recreational facility, best mapped to OtherCommercial.",windsurfing_center
OtherCommercial,0.8,"Beauty product supplier is a commercial retail or wholesale business, fitting OtherCommercial.",beauty_product_supplier
OtherCommercial,0.6,"Pet training is a commercial service, no specific DOE category.",pet_training
OtherCommercial,0.7,Bubble soccer field is a recreational commercial facility without a specific DOE type.,bubble_soccer_field
OtherCommercial,0.7,Childbirth education is a commercial or educational service without a specific DOE type.,childbirth_education
SmallOffice,0.7,Chamber of handicraft is an administrative or professional office.,chamber_of_handicraft
OtherCommercial,0.7,Domestic airports are large commercial transportation facilities.,domestic_airports
OtherIndustrial,0.7,"Garbage collection service is industrial/service, OtherIndustrial fits.",garbage_collection_service
OtherCommercial,0.6,Ski areas are recreational outdoor facilities.,ski_area
OtherCommercial,0.8,Gas stations are commercial retail facilities.,gas_station
StandaloneRetail,0.9,"An electrical supply store is a retail establishment selling electrical goods, fitting the StandaloneRetail category.",electrical_supply_store
SmallOffice,0.85,Business law is a professional office service.,business_law
OtherCommercial,0.6,Karaoke rental is a commercial entertainment service.,karaoke_rental
OtherCommercial,0.75,Gymnastics centers are commercial recreational facilities.,gymnastics_center
OtherCommercial,0.7,"Art restoration is a specialized service, best categorized as OtherCommercial.",art_restoration
OtherIndustrial,0.8,Carpenter is a construction-related industrial activity.,carpenter
OutPatient,0.9,Neurologists provide outpatient medical services.,neurologist
StandaloneRetail,0.8,Lighting stores are retail outlets.,lighting_store
Warehouse,0.75,Truck rentals involve vehicle storage and distribution.,truck_rentals
FullServiceRestaurant,0.9,Cajun and Creole restaurant is a full-service restaurant.,cajun_and_creole_restaurant
OtherIndustrial,0.8,"Flooring contractors are a trade service, fitting OtherIndustrial.",flooring_contractors
OtherCommercial,0.75,"Racquetball courts are recreational facilities not specifically covered by DOE types, so OtherCommercial fits.",racquetball_court
QuickServiceRestaurant,0.9,Sandwich shops are quick service restaurants.,sandwich_shop
OtherCommercial,0.6,"Animal shelter is a specialized facility, best categorized as OtherCommercial.",animal_shelter
MultiFamilyResidential,0.8,"Assisted living facility is residential care, best matched to MultiFamilyResidential.",assisted_living_facility
OtherIndustrial,0.8,Welders work in industrial settings.,welders
FullServiceRestaurant,0.8,Vegetarian restaurant is a full service restaurant.,vegetarian_restaurant
OtherCommercial,0.6,College/university is an educational institution not specifically listed; assigned OtherCommercial.,college_university
OutPatient,0.9,General dentistry is an outpatient medical service.,general_dentistry
SmallOffice,0.7,"Newspaper advertising is an office-based business, fitting SmallOffice.",newspaper_advertising
StandaloneRetail,0.6,"A concept shop is a retail store showcasing products, fitting StandaloneRetail.",concept_shop
OtherCommercial,0.7,Historical tours are commercial services not fitting other categories.,historical_tours
OtherCommercial,0.7,Diamond dealer is a commercial retail or wholesale business.,diamond_dealer
StandaloneRetail,0.85,T-shirt store is a retail establishment.,t_shirt_store
Warehouse,0.7,B2B truck equipment parts and accessories likely stored in warehouse.,b2b_truck_equipment_parts_and_accessories
OtherCommercial,0.7,"B2B autos and vehicles is a commercial business, not retail or office specifically.",b2b_autos_and_vehicles
SmallOffice,0.6,"Tutoring center is an educational service but likely small scale, fitting SmallOffice.",tutoring_center
OtherIndustrial,0.6,Interlock system relates to industrial or technical systems.,interlock_system
OtherCommercial,0.7,Truck gas stations are commercial service facilities.,truck_gas_station
OtherCommercial,0.6,"Mountain bike trails are outdoor recreational facilities, best mapped to OtherCommercial.",mountain_bike_trails
FullServiceRestaurant,0.9,Vietnamese restaurant is a sit-down dining establishment.,vietnamese_restaurant
OtherCommercial,0.7,Hockey arena is a commercial sports facility.,hockey_arena
FullServiceRestaurant,0.85,"Eatertainment combines eating and entertainment, fitting full service restaurant.",eatertainment
OtherCommercial,0.75,"3D printing service is a commercial service, best categorized as OtherCommercial.",3d_printing_service
FullServiceRestaurant,0.85,Vermouth bar is a type of full service restaurant/bar.,vermouth_bar
OtherCommercial,0.85,"Rock climbing gym is a recreational commercial facility, best categorized as OtherCommercial.",rock_climbing_gym
SmallOffice,0.7,"Business equipment and supply likely involves office or retail space, small office fits.",business_equipment_and_supply
OtherCommercial,0.5,"Lookout is a viewpoint or observation area, no direct DOE type; OtherCommercial chosen.",lookout
Warehouse,0.7,Tableware supplier implies storage and distribution.,tableware_supplier
OutPatient,0.95,A women's health clinic is a medical outpatient facility.,womens_health_clinic
OtherCommercial,0.7,Driving ranges are recreational facilities not specifically listed.,driving_range
OtherCommercial,0.7,"A pentecostal church is a place of worship; no direct DOE building type, so OtherCommercial is selected.",pentecostal_church
OtherCommercial,0.7,Pet cemetery and crematorium services are specialized commercial services.,pet_cemetery_and_crematorium_services
OtherCommercial,0.7,Corporate entertainment services are commercial but not fitting other types.,corporate_entertainment_services
OtherCommercial,0.75,"Oil change station is a commercial automotive service, not fitting other categories well.",oil_change_station
SmallOffice,0.7,"Security systems businesses are office-based service providers, fitting SmallOffice.",security_systems
SmallOffice,0.8,Accountants operate in small office settings.,accountant
QuickServiceRestaurant,0.9,Bubble tea shops are quick service food and beverage outlets.,bubble_tea
OtherCommercial,0.6,Gliderports are specialized commercial aviation facilities.,gliderports
FullServiceRestaurant,0.9,Guatemalan restaurant is a full-service restaurant.,guatemalan_restaurant
StripMall,0.7,Formal wear stores are retail outlets often found in strip malls.,formal_wear_store
StandaloneRetail,0.8,Maternity wear is a retail clothing store.,maternity_wear
OtherCommercial,0.7,Visitor center is a commercial/public facility.,visitor_center
Warehouse,0.9,"Railroad freight involves storage and transport, best mapped to Warehouse.",railroad_freight
OtherCommercial,0.75,Libraries are public service buildings best categorized as OtherCommercial.,library
OutPatient,0.9,Pediatric pulmonology is a specialized outpatient medical service.,pediatric_pulmonology
OtherCommercial,0.7,Pressure washing is a commercial cleaning service.,pressure_washing
SmallOffice,0.75,B2B scientific equipment likely operates from small office or commercial space.,b2b_scientific_equipment
SmallOffice,0.7,HVAC services are typically small office or service businesses.,hvac_services
OtherCommercial,0.7,"Go kart club is a recreational facility not fitting other categories, so OtherCommercial.",go_kart_club
OtherIndustrial,0.8,Bottled water companies involve industrial production.,bottled_water_company
FullServiceRestaurant,0.9,Pakistani restaurant is a full-service restaurant.,pakistani_restaurant
OtherCommercial,0.7,"food_delivery_service is a service business, mapped to OtherCommercial.",food_delivery_service
StandaloneRetail,0.9,Kitchen supply stores are retail establishments.,kitchen_supply_store
OtherIndustrial,0.85,B2B rubber and plastics is an industrial business.,b2b_rubber_and_plastics
SmallOffice,0.7,"Language school is an educational service but typically small scale, fitting small office.",language_school
StandaloneRetail,0.7,Kitchen and bath stores are retail establishments.,kitchen_and_bath
OtherIndustrial,0.9,Textile mill is an industrial manufacturing facility.,textile_mill
OtherCommercial,0.8,Car wash is a commercial service facility not covered by other types.,car_wash
OtherCommercial,0.6,Esports leagues are commercial entertainment but do not fit traditional building types.,esports_league
SmallOffice,0.8,Clothing company likely refers to office or administrative functions.,clothing_company
StandaloneRetail,0.7,"Fur clothing is a retail product, assigned to standalone retail.",fur_clothing
OtherIndustrial,0.6,"CSA farm involves agricultural production, which aligns best with OtherIndustrial.",csa_farm
OutPatient,0.85,Rheumatologist practices in outpatient medical facilities.,rheumatologist
OtherIndustrial,0.8,Auto customization is an industrial or workshop activity.,auto_customization
OtherCommercial,0.7,"Racing experience is a recreational or entertainment service, categorized as OtherCommercial.",racing_experience
OtherCommercial,0.6,Attractions and activities are commercial but not specific to DOE types.,attractions_and_activities
StandaloneRetail,0.8,Hobby shop is a retail store.,hobby_shop
OtherCommercial,0.4,"Crater is a natural feature, no building type applicable.",crater
OtherCommercial,0.7,"Swimming instructor is a service, likely in commercial or recreational facilities.",swimming_instructor
FullServiceRestaurant,0.7,"Caterers are food service providers, often full-service.",caterer
OtherCommercial,0.7,Computer museums are commercial cultural institutions.,computer_museum
OtherCommercial,0.7,Law enforcement facilities are government/commercial buildings without specific DOE category.,law_enforcement
OutPatient,0.95,A dialysis clinic is a medical outpatient facility.,dialysis_clinic
FullServiceRestaurant,0.9,Oriental restaurant is a full-service dining establishment.,oriental_restaurant
OtherCommercial,0.7,Damage restoration is a commercial service business.,damage_restoration
OutPatient,0.9,Community health center is an outpatient medical facility.,community_health_center
OtherIndustrial,0.85,Hazardous waste disposal involves industrial processes and handling of waste materials.,hazardous_waste_disposal
QuickServiceRestaurant,0.7,Kombucha is often sold in quick service or retail food settings.,kombucha
OtherIndustrial,0.9,Mattress manufacturing is an industrial activity.,mattress_manufacturing
FullServiceRestaurant,0.9,Himalayan Nepalese restaurant is a full service dining establishment.,himalayan_nepalese_restaurant
FullServiceRestaurant,0.9,Fischbrotchen restaurant is a full-service dining establishment.,fischbrotchen_restaurant
Warehouse,0.7,"B2B apparel suggests wholesale distribution, typical of warehouses.",b2b_apparel
OtherCommercial,0.6,"Taxi rank is a transportation service area, no direct DOE type; OtherCommercial.",taxi_rank
SmallOffice,0.75,structural_engineer is a professional office.,structural_engineer
FullServiceRestaurant,0.85,"A salsa club is a nightlife venue serving food and drinks, similar to a FullServiceRestaurant.",salsa_club
OtherCommercial,0.7,Hot springs are commercial recreational facilities not fitting other categories.,hot_springs
OutPatient,0.9,Internal medicine is an outpatient medical service.,internal_medicine
OtherCommercial,0.7,"Beer tours are a service activity, best classified as OtherCommercial.",beer_tours
StandaloneRetail,0.9,"Men's clothing store is a retail store, fitting StandaloneRetail.",mens_clothing_store
OtherCommercial,0.8,"Waxing is a personal care service, categorized as OtherCommercial.",waxing
OutPatient,0.9,Urologist is a medical specialist typically in outpatient clinics.,urologist
OtherCommercial,0.7,Karaoke is a commercial entertainment activity without a specific DOE building type.,karaoke
OtherCommercial,0.7,Carpet cleaning is a commercial service activity.,carpet_cleaning
OtherCommercial,0.6,"Party bus rental is a transportation service, no specific building type.",party_bus_rental
OtherCommercial,0.7,Gay and lesbian services organization is a commercial or community service.,gay_and_lesbian_services_organization
OtherCommercial,0.6,"Fuel dock is a commercial facility related to fuel sales, not fitting standard retail or industrial categories.",fuel_dock
OtherCommercial,0.7,"Film festivals and organizations are commercial or cultural entities, fitting OtherCommercial.",film_festivals_and_organizations
StandaloneRetail,0.85,"A framing store sells framing materials and services, a retail function.",framing_store
OtherCommercial,0.7,Kids recreation and party is a recreational commercial facility.,kids_recreation_and_party
OtherIndustrial,0.9,Oil and gas field equipment and services are industrial in nature.,oil_and_gas_field_equipment_and_services
OtherCommercial,0.7,"Aviation museum is a commercial public attraction, no specific DOE type.",aviation_museum
Warehouse,0.8,"Produce wholesalers handle bulk storage and distribution, fitting Warehouse.",produce_wholesaler
OtherCommercial,0.7,"Halfway house is a residential care facility, no exact DOE type, so OtherCommercial.",halfway_house
SmallOffice,0.8,Direct mail advertising is an office-based marketing service.,direct_mail_advertising
SmallOffice,0.8,Tattoo removal is a personal care service in small office or salon settings.,tattoo_removal
OutPatient,0.95,Cosmetic dentist is a medical outpatient service.,cosmetic_dentist
StandaloneRetail,0.8,"Wallpaper store is a retail outlet, fitting StandaloneRetail.",wallpaper_store
OtherIndustrial,0.9,Steel fabricators are industrial manufacturing operations.,steel_fabricators
OtherIndustrial,0.7,"Forestry service involves industrial activities related to forest management and logging, fitting OtherIndustrial.",forestry_service
OtherCommercial,0.7,"Pilates studio is a fitness service, best categorized as OtherCommercial.",pilates_studio
OutPatient,0.9,Endoscopist is a medical specialist typically in outpatient clinics.,endoscopist
Warehouse,0.8,"Vehicle shipping involves storage and logistics, best matched to Warehouse.",vehicle_shipping
OtherCommercial,0.7,"Temples are religious buildings, not specifically listed; OtherCommercial is closest.",temple
OtherIndustrial,0.7,"Avionics shops involve specialized industrial repair and manufacturing, fitting OtherIndustrial.",avionics_shop
StandaloneRetail,0.8,Japanese confectionery shop is a retail establishment.,japanese_confectionery_shop
OtherIndustrial,0.8,Grout service is a construction-related industrial service.,grout_service
FullServiceRestaurant,0.85,Cocktail bars are full-service establishments serving drinks and often food.,cocktail_bar
OtherCommercial,0.7,Boat rental and training are commercial recreational services.,boat_rental_and_training
OtherCommercial,0.7,"Rest areas are roadside facilities not fitting other categories, so OtherCommercial.",rest_areas
SmallOffice,0.7,Credit unions are financial institutions often housed in small office buildings.,credit_union
Hospital,0.95,Skilled nursing is a healthcare service often part of hospitals or nursing homes.,skilled_nursing
StandaloneRetail,0.7,Hunting and fishing supplies are retail goods.,hunting_and_fishing_supplies
SmallOffice,0.8,Interior design is a professional service typically in a small office setting.,interior_design
OtherCommercial,0.7,Mobility equipment services are commercial services.,mobility_equipment_services
OtherCommercial,0.8,Bike tours are a commercial activity but do not fit into specific categories like retail or office.,bike_tours
OtherCommercial,0.8,Social welfare centers provide community services and do not fit into specialized categories like schools or hospitals.,social_welfare_center
OtherCommercial,0.7,"Synagogue is a religious building, not covered by DOE building types.",synagogue
SmallOffice,0.85,Employment law is a professional office service.,employment_law
Warehouse,0.9,Wholesale grocer fits warehouse category.,wholesale_grocer
OtherIndustrial,0.8,Roofing is a construction-related industrial activity.,roofing
FullServiceRestaurant,0.9,A Russian restaurant is a full-service dining establishment.,russian_restaurant
OtherCommercial,0.9,"Indoor golf center is a recreational commercial facility, not a standard DOE building type like office or retail.",indoor_golf_center
OutPatient,0.8,Medical service organizations are outpatient or clinical facilities.,medical_service_organizations
FullServiceRestaurant,0.7,"Jazz and blues venue likely includes food and drink service, matching FullServiceRestaurant.",jazz_and_blues
Hospital,0.85,Ambulance and EMS services are typically part of or associated with hospitals.,ambulance_and_ems_services
OtherCommercial,0.85,"Surfboard rental is a commercial rental service, not fitting retail or office categories.",surfboard_rental
Hospital,0.95,Hospitalist is a medical professional working in hospitals.,hospitalist
OtherCommercial,0.6,"Water taxi is a transportation service, not fitting typical building types, so OtherCommercial is closest.",water_taxi
OtherIndustrial,0.8,Natural gas supplier is an industrial facility.,natural_gas_supplier
OtherIndustrial,0.6,"Light rail and subway stations are transportation infrastructure, best fit is OtherIndustrial.",light_rail_and_subway_stations
QuickServiceRestaurant,0.9,Waffle restaurant is typically a quick service restaurant.,waffle_restaurant
SmallOffice,0.8,"Construction management is an office-based professional service, likely small office.",construction_management
QuickServiceRestaurant,0.85,Chicken restaurant typically refers to quick service dining.,chicken_restaurant
SmallOffice,0.6,Public service and government offices typically small office.,public_service_and_government
MidriseApartment,0.7,Service apartments are typically midrise residential buildings.,service_apartments
StandaloneRetail,0.8,"Mailbox center is a retail service location, fitting StandaloneRetail.",mailbox_center
StandaloneRetail,0.8,Wig stores are retail businesses.,wig_store
FullServiceRestaurant,0.9,Iberian restaurant is a full-service dining establishment.,iberian_restaurant
Warehouse,0.75,"Dumpster rentals involve storage and logistics, fitting warehouse.",dumpster_rentals
SmallOffice,0.6,Ride sharing companies operate from small offices.,ride_sharing
OtherIndustrial,0.75,Bearing supplier is industrial/commercial warehouse or supplier.,bearing_supplier
FullServiceRestaurant,0.95,cambodian_restaurant is a full-service ethnic restaurant.,cambodian_restaurant
SmallOffice,0.8,Hair stylist is a small office or personal service.,hair_stylist
OtherCommercial,0.7,An auditorium is a commercial space not fitting other categories.,auditorium
Warehouse,0.8,"Optical wholesaler involves storage and distribution, matching warehouse use.",optical_wholesaler
FullServiceRestaurant,0.9,Diner is a type of full-service restaurant.,diner
SecondarySchool,0.7,Vocational and technical schools align with secondary education.,vocational_and_technical_school
OtherIndustrial,0.7,Utility service involves industrial operations and infrastructure.,utility_service
OtherIndustrial,0.75,"B2B textiles refers to business-to-business textile manufacturing or distribution, industrial in nature.",b2b_textiles
StripMall,0.7,Electronics retail is commonly located in strip malls.,electronics
OtherIndustrial,0.8,Truck repair is an industrial service.,truck_repair
OtherCommercial,0.7,"Childproofing is a service likely offered in commercial spaces, not fitting specific categories like office or retail.",childproofing
StandaloneRetail,0.8,"Pop-up shops are temporary retail spaces, best mapped to StandaloneRetail.",pop_up_shop
StripMall,0.8,Home improvement stores are retail outlets often found in strip malls or standalone retail.,home_improvement_store
OutPatient,0.9,"Prosthodontist is a medical specialist, fitting OutPatient clinic.",prosthodontist
OtherCommercial,0.6,Horse training is an agricultural or recreational activity without a direct DOE type; OtherCommercial is the closest.,horse_trainer
MultiFamilyResidential,0.85,Retirement homes are residential facilities housing multiple residents.,retirement_home
PrimarySchool,0.9,Preschool is an educational facility for young children.,preschool
OtherCommercial,0.6,Backflow services are specialized services without a direct DOE building type match.,backflow_services
PrimarySchool,0.9,Charter school is a type of primary or secondary school; primary school chosen as default.,charter_school
OtherIndustrial,0.9,Plastic manufacturer is industrial manufacturing.,plastic_manufacturer
OtherIndustrial,0.8,Shutters likely refers to manufacturing or installation services.,shutters
SmallOffice,0.7,E-commerce service is likely office-based.,e_commerce_service
StandaloneRetail,0.85,Carpet stores are retail establishments.,carpet_store
OutPatient,0.95,Cardiovascular and thoracic surgeons provide outpatient medical services.,cardiovascular_and_thoracic_surgeon
QuickServiceRestaurant,0.8,Chicken wings restaurant is often a quick service restaurant.,chicken_wings_restaurant
OtherIndustrial,0.75,Surgical appliances and supplies suggest manufacturing or industrial production.,surgical_appliances_and_supplies
OtherIndustrial,0.7,Automotive wheel polishing is an industrial service.,automotive_wheel_polishing_service
MultiFamilyResidential,0.9,Housing cooperatives are residential multi-family housing.,housing_cooperative
OtherCommercial,0.7,Kickboxing clubs are commercial fitness or recreational facilities.,kickboxing_club
OtherCommercial,0.7,Food safety training is educational but not primary/secondary school; OtherCommercial fits.,food_safety_training
SmallOffice,0.8,Tax law is a professional office service.,tax_law
OtherCommercial,0.7,Pet grooming is a commercial service without a specific DOE building type.,pet_groomer
FullServiceRestaurant,0.9,"Kofta restaurant is a full-service dining establishment, fitting the FullServiceRestaurant category.",kofta_restaurant
FullServiceRestaurant,0.9,Danish restaurant is a full-service dining establishment.,danish_restaurant
FullServiceRestaurant,0.7,A tiki bar is a type of full-service restaurant/bar.,tiki_bar
OutPatient,0.9,"Cardiologist is a medical specialist, fitting OutPatient clinic.",cardiologist
FullServiceRestaurant,0.8,Hookah bar is a full service restaurant/bar.,hookah_bar
OtherCommercial,0.7,Decorative arts museum is a commercial cultural facility.,decorative_arts_museum
OtherCommercial,0.6,Flight school is an educational service but specialized; no direct DOE school category fits.,flight_school
OtherCommercial,0.7,Junk removal and hauling is a commercial service.,junk_removal_and_hauling
OtherCommercial,0.7,Fireplace service is a specialized commercial service.,fireplace_service
SmallOffice,0.8,Mortgage lender is a financial service typically in small office buildings.,mortgage_lender
OutPatient,0.9,Geriatric medicine is a healthcare service typically provided in outpatient clinics.,geriatric_medicine
FullServiceRestaurant,0.9,Azerbaijani restaurant is a full-service restaurant.,azerbaijani_restaurant
OtherCommercial,0.75,Teeth whitening is a commercial personal care service.,teeth_whitening
StandaloneRetail,0.8,"Furniture accessory store is a retail business, typically standalone retail.",furniture_accessory_store
OtherCommercial,0.7,"Hot air balloon tours are commercial tourism services, fitting OtherCommercial.",hot_air_balloons_tour
OtherCommercial,0.7,Dance clubs are commercial entertainment venues not specifically categorized.,dance_club
FullServiceRestaurant,0.9,A fish restaurant is a full-service dining establishment.,fish_restaurant
Warehouse,0.8,A vending machine supplier likely operates from a warehouse or industrial space.,vending_machine_supplier
StandaloneRetail,0.8,Swimwear stores are retail shops selling apparel.,swimwear_store
OutPatient,0.75,Naturopathic holistic services are medical-related outpatient services.,naturopathic_holistic
OtherCommercial,0.6,Hypnosis/hypnotherapy is a commercial health service.,hypnosis_hypnotherapy
SuperMarket,0.85,"Ethical grocery is a retail food store, best matched to SuperMarket.",ethical_grocery
FullServiceRestaurant,0.9,A Kurdish restaurant is a full-service dining establishment.,kurdish_restaurant
OtherCommercial,0.75,Pet services are commercial but no specific DOE building type.,pet_services
OtherCommercial,0.8,"Arts and crafts is a commercial activity typically involving retail or workshop spaces, best categorized as OtherCommercial.",arts_and_crafts
OtherIndustrial,0.9,Plastic injection molding is an industrial manufacturing process.,plastic_injection_molding_workshop
OtherIndustrial,0.85,Distillery is an industrial production facility.,distillery
OtherIndustrial,0.9,"Mining is an industrial activity, best categorized as OtherIndustrial.",mining
OtherCommercial,0.7,Toll stations are specialized commercial or transportation facilities.,toll_stations
FullServiceRestaurant,0.8,Sports bar is a full service restaurant type.,sports_bar
FullServiceRestaurant,0.9,Molecular gastronomy restaurant is a type of full-service restaurant.,molecular_gastronomy_restaurant
QuickServiceRestaurant,0.95,Fast food restaurant fits quick service restaurant category.,fast_food_restaurant
FullServiceRestaurant,0.8,Piadina restaurant is a sit-down dining establishment.,piadina_restaurant
SmallOffice,0.7,Betting centers are small commercial offices.,betting_center
SuperMarket,0.9,Fruits and vegetables are sold in supermarkets.,fruits_and_vegetables
OtherCommercial,0.7,"Mobile phone repair is a small service business, categorized as OtherCommercial.",mobile_phone_repair
OtherCommercial,0.9,"Venue and event spaces are commercial spaces used for gatherings and events, fitting under OtherCommercial.",venue_and_event_space
FullServiceRestaurant,0.9,Bulgarian restaurant is a full-service dining establishment.,bulgarian_restaurant
SmallOffice,0.85,Business banking services are typically conducted in small office or bank office settings.,business_banking_service
FullServiceRestaurant,0.9,Asian fusion restaurant is a full-service dining establishment.,asian_fusion_restaurant
OtherCommercial,0.7,Sightseeing tour agencies are commercial service offices.,sightseeing_tour_agency
OtherIndustrial,0.85,Brake service and repair is an industrial automotive service.,brake_service_and_repair
OutPatient,0.85,Vascular medicine is typically outpatient clinical care.,vascular_medicine
OtherCommercial,0.6,"Housing authorities are administrative offices, best mapped to other commercial.",housing_authorities
PrimarySchool,0.95,Public school corresponds to PrimarySchool DOE building type.,public_school
Warehouse,0.8,"Granite suppliers store and distribute materials, fitting warehouse.",granite_supplier
OutPatient,0.9,Neuropathologists are medical specialists typically working in outpatient or clinical settings.,neuropathologist
OtherCommercial,0.7,Skating rinks are recreational commercial facilities.,skating_rink
SmallOffice,0.8,Immigration assistance services are professional services typically in small offices.,immigration_assistance_services
OutPatient,0.85,Memory care is a medical outpatient or residential care facility.,memory_care
OtherCommercial,0.6,Bookmakers are commercial businesses not fitting other categories.,bookmakers
SmallOffice,0.75,Inspection services are typically office-based professional services.,inspection_services
OtherCommercial,0.85,Reflexology is a health-related service typically in commercial spaces.,reflexology
SmallOffice,0.8,Airline ticket agencies are small office-based commercial services.,airline_ticket_agency
SmallOffice,0.8,Henna artist likely operates in a small office or studio setting.,henna_artist
StandaloneRetail,0.7,Honey farm shops are retail outlets selling honey products.,honey_farm_shop
OtherCommercial,0.7,"Art space rental is a commercial space for arts, fitting OtherCommercial.",art_space_rental
FullServiceRestaurant,0.85,Curry sausage restaurant is a full service restaurant.,curry_sausage_restaurant
OtherCommercial,0.7,Personal care services are commercial services.,personal_care_service
OtherIndustrial,0.9,Chemical plant is an industrial facility.,chemical_plant
SmallOffice,0.7,"Water heater installation and repair is a service business, likely office-based, fitting SmallOffice.",water_heater_installation_repair
FullServiceRestaurant,0.9,A Basque restaurant is a full-service dining establishment.,basque_restaurant
FullServiceRestaurant,0.9,Bar and grill restaurant is a full-service restaurant.,bar_and_grill_restaurant
OtherIndustrial,0.8,"Courier and delivery services involve logistics and warehousing, fitting industrial classification.",courier_and_delivery_services
Warehouse,0.8,Wholesalers typically operate warehouses for storage and distribution.,wholesaler
